,Date,AQI
455,07/03/2022,92.40272225
456,08/03/2022,87.01225442
457,09/03/2022,89.97566049
458,10/03/2022,89.79335424
459,11/03/2022,91.65215132
460,12/03/2022,90.47755935
461,13/03/2022,88.63034353
462,14/03/2022,92.36294963
463,15/03/2022,87.03223661
464,16/03/2022,90.05361822
465,17/03/2022,89.92737506
466,18/03/2022,91.84017361
467,19/03/2022,90.71737767
468,20/03/2022,88.91962991
469,21/03/2022,92.69923759
470,22/03/2022,87.4129478
471,23/03/2022,90.47604644
472,24/03/2022,90.38870756
473,25/03/2022,92.33749644
474,26/03/2022,91.24767032
475,27/03/2022,89.47978665
476,28/03/2022,93.2860781
477,29/03/2022,88.02319587
478,30/03/2022,91.10636727
479,31/03/2022,91.03570242
480,01/04/2022,92.99771332
481,02/04/2022,91.91761461
482,03/04/2022,90.15593176
483,04/04/2022,93.96484417
484,05/04/2022,88.70100838
485,06/04/2022,91.77961972
486,07/04/2022,91.70080432
487,08/04/2022,93.65105816
488,09/04/2022,92.55561189
489,10/04/2022,90.77501227
490,11/04/2022,94.56147601
491,12/04/2022,89.27168627
492,13/04/2022,92.32088634
493,14/04/2022,92.20924494
494,15/04/2022,94.12334331
495,16/04/2022,92.98846536
496,17/04/2022,91.16522712
497,18/04/2022,94.90593583
498,19/04/2022,89.56736524
499,20/04/2022,92.56487583
500,21/04/2022,92.39871089
501,22/04/2022,94.25556888
502,23/04/2022,93.06087219
503,24/04/2022,91.1753434
504,25/04/2022,94.85142828
505,26/04/2022,89.44602308
506,27/04/2022,92.37463211
507,28/04/2022,92.13765849
508,29/04/2022,93.92193918
509,30/04/2022,92.65304041
510,01/05/2022,90.69186588
511,02/05/2022,94.29099985
512,03/05/2022,88.80751972
513,04/05/2022,91.65707894
514,05/05/2022,91.34026711
515,06/05/2022,93.04408629
516,07/05/2022,91.69427321
517,08/05/2022,89.65190203
518,09/05/2022,93.16974879
519,10/05/2022,87.60504537
520,11/05/2022,90.37363169
521,12/05/2022,89.97626246
522,13/05/2022,91.60012089
523,14/05/2022,90.17111418
524,15/05/2022,88.05049759
525,16/05/2022,91.49118569
526,17/05/2022,85.85061279
527,18/05/2022,88.54476795
528,19/05/2022,88.0745604
529,20/05/2022,89.62733314
530,21/05/2022,88.12915318
531,22/05/2022,85.94140899
532,23/05/2022,89.31718559
533,24/05/2022,83.61403447
534,25/05/2022,86.24807791
535,26/05/2022,85.72037958
536,27/05/2022,87.21838374
537,28/05/2022,85.66827458
538,29/05/2022,83.43156841
539,30/05/2022,86.76144083
540,31/05/2022,81.01554987
541,01/06/2022,83.61011368
542,02/06/2022,83.04625989
543,03/06/2022,84.51152862
544,04/06/2022,82.93217865
545,05/06/2022,80.66976891
546,06/06/2022,83.97754957
547,07/06/2022,78.21319998
548,08/06/2022,80.79300755
549,09/06/2022,80.21812652
550,10/06/2022,81.67610769
551,11/06/2022,80.09323646
552,12/06/2022,77.83108243
553,13/06/2022,81.14287977
554,14/06/2022,75.38633448
555,15/06/2022,77.97768601
556,16/06/2022,77.41807797
557,17/06/2022,78.89505048
558,18/06/2022,77.3348197
559,19/06/2022,75.09892327
560,20/06/2022,78.44056339
561,21/06/2022,72.71736615
562,22/06/2022,75.34551241
563,23/06/2022,74.82606587
564,24/06/2022,76.34649207
565,25/06/2022,74.83294324
566,26/06/2022,72.64685047
567,27/06/2022,76.04131476
568,28/06/2022,70.37386098
569,29/06/2022,73.06058475
570,30/06/2022,72.60241658
571,01/07/2022,74.18672615
572,02/07/2022,72.73952716
573,03/07/2022,70.62213351
574,04/07/2022,74.087529
575,05/07/2022,68.49309468
576,06/07/2022,71.25479297
577,07/07/2022,70.87344252
578,08/07/2022,72.53623721
579,09/07/2022,71.16907888
580,10/07/2022,69.13311628
581,11/07/2022,72.68121068
582,12/07/2022,67.17060462
583,13/07/2022,70.0170954
584,14/07/2022,69.72136316
585,15/07/2022,71.4704739
586,16/07/2022,70.19016434
587,17/07/2022,68.2414607
588,18/07/2022,71.87706445
589,19/07/2022,66.4540876
590,20/07/2022,69.3881916
591,21/07/2022,69.17991542
592,22/07/2022,71.01618391
593,23/07/2022,69.82261126
594,24/07/2022,67.9601118
595,25/07/2022,71.68123786
596,26/07/2022,66.34298957
597,27/07/2022,69.36091118
598,28/07/2022,69.23543514
599,29/07/2022,71.1533744
600,30/07/2022,70.04024193
601,31/07/2022,68.25684023
602,01/08/2022,72.05564168
603,02/08/2022,66.79354255
604,03/08/2022,69.8860205
605,04/08/2022,69.83340942
606,05/08/2022,71.82247699
607,06/08/2022,70.77863497
608,07/08/2022,69.06264853
609,08/08/2022,72.92692085
610,09/08/2022,67.72832152
611,10/08/2022,70.88225365
612,11/08/2022,70.88902448
613,12/08/2022,72.93535908
614,13/08/2022,71.94666919
615,14/08/2022,70.2836774
616,15/08/2022,74.19877619
617,16/08/2022,69.04881921
618,17/08/2022,72.24922021
619,18/08/2022,72.30029707
620,19/08/2022,74.38874823
621,20/08/2022,73.44002806
622,21/08/2022,71.81486447
623,22/08/2022,75.76568191
624,23/08/2022,70.64935532
625,24/08/2022,73.88133575
626,25/08/2022,73.96196772
627,26/08/2022,76.07801893
628,27/08/2022,75.15495439
629,28/08/2022,73.55358192
630,29/08/2022,77.52636325
631,30/08/2022,72.43023728
632,31/08/2022,75.68070297
633,01/09/2022,75.77819009
634,02/09/2022,77.90951961
635,03/09/2022,77.00024177
636,04/09/2022,75.41120701
637,05/09/2022,79.39497829
638,06/09/2022,74.30854776
639,07/09/2022,77.5675156
640,08/09/2022,77.67236487
641,09/09/2022,79.8100124
642,10/09/2022,78.90607239
643,11/09/2022,77.32148581
644,12/09/2022,81.30888489
645,13/09/2022,76.22535233
646,14/09/2022,79.48655226
647,15/09/2022,79.59305827
648,16/09/2022,81.73184049
649,17/09/2022,80.82861432
650,18/09/2022,79.24438999
651,19/09/2022,83.23185299
652,20/09/2022,78.14817128
653,21/09/2022,81.40906756
654,22/09/2022,81.51518469
655,23/09/2022,83.65355138
656,24/09/2022,82.74993633
657,25/09/2022,81.16540302
658,26/09/2022,85.15270089
659,27/09/2022,80.06902982
660,28/09/2022,83.33017115
661,29/09/2022,83.43679436
662,30/09/2022,85.57597079
663,01/10/2022,84.67350107
664,02/10/2022,83.09047003
665,03/10/2022,87.07964838
666,04/10/2022,81.99827333
667,05/10/2022,85.26212618
668,06/10/2022,85.37188177
669,07/10/2022,87.51462207
670,08/10/2022,86.61614773
671,09/10/2022,85.03754356
672,10/10/2022,89.0315643
673,11/10/2022,83.95543651
674,12/10/2022,87.22492018
675,13/10/2022,87.34067415
676,14/10/2022,89.4897591
677,15/10/2022,88.59792773
678,16/10/2022,87.02623823
679,17/10/2022,91.02741335
680,18/10/2022,85.95862106
681,19/10/2022,89.2355894
682,20/10/2022,89.35890795
683,21/10/2022,91.51560009
684,22/10/2022,90.63136526
685,23/10/2022,89.06718706
686,24/10/2022,93.07573498
687,25/10/2022,88.01410773
688,26/10/2022,91.29795876
689,27/10/2022,91.42782972
690,28/10/2022,93.59064811
691,29/10/2022,92.71204409
692,30/10/2022,91.15293735
693,31/10/2022,95.16590682
694,01/11/2022,90.10798194
695,02/11/2022,93.39473628
696,03/11/2022,93.52663156
697,04/11/2022,95.69051538
698,05/11/2022,94.811938
699,06/11/2022,93.25174984
700,07/11/2022,97.26245527
701,08/11/2022,92.20099316
702,09/11/2022,95.48287847
703,10/11/2022,95.6084877
704,11/11/2022,97.76459918
705,12/11/2022,96.87669926
706,13/11/2022,95.3055691
707,14/11/2022,99.30364915
708,15/11/2022,94.227825
709,16/11/2022,97.49353704
710,17/11/2022,97.60111914
711,18/11/2022,99.73730703
712,19/11/2022,98.82753377
713,20/11/2022,97.2325166
714,21/11/2022,101.2046906
715,22/11/2022,96.10087757
716,23/11/2022,99.33651776
717,24/11/2022,99.4119078
718,25/11/2022,101.5137621
719,26/11/2022,100.5675031
720,27/11/2022,98.93384267
721,28/11/2022,102.8652
722,29/11/2022,97.71841799
723,30/11/2022,100.9089264
724,01/12/2022,100.9370485
725,02/12/2022,102.9895147
726,03/12/2022,101.9917633
727,04/12/2022,100.3045542
728,05/12/2022,104.1803279
729,06/12/2022,98.97597522
730,07/12/2022,102.1069792
731,08/12/2022,102.0737004
732,09/12/2022,104.0629331
733,10/12/2022,103.0001957
734,11/12/2022,101.2463065
735,12/12/2022,105.0537859
736,13/12/2022,99.77960472
737,14/12/2022,102.8393206
738,15/12/2022,102.7334006
739,16/12/2022,104.6487402
740,17/12/2022,103.5109376
741,18/12/2022,101.6809179
742,19/12/2022,105.4113185
743,20/12/2022,100.0592276
744,21/12/2022,103.0403092
745,22/12/2022,102.8551476
746,23/12/2022,104.6907609
747,24/12/2022,103.4728804
748,25/12/2022,101.5625643
749,26/12/2022,105.2125673
750,27/12/2022,99.78010547
751,28/12/2022,102.6809919
752,29/12/2022,102.4159548
753,30/12/2022,104.1721241
754,31/12/2022,102.8753855
755,01/01/2023,100.8869199
756,02/01/2023,104.4596312
757,03/01/2023,98.95087362
758,04/01/2023,101.7765991
759,05/01/2023,101.4376582
760,06/01/2023,103.1213354
761,07/01/2023,101.753623
762,08/01/2023,99.69586168
763,09/01/2023,103.2010671
764,10/01/2023,97.62672149
765,11/01/2023,100.3889046
766,12/01/2023,99.98857875
767,13/01/2023,101.6131404
768,14/01/2023,100.1887203
769,15/01/2023,98.07674442
770,16/01/2023,101.5303349
771,17/01/2023,95.90708063
772,18/01/2023,98.62313044
773,19/01/2023,98.17957469
774,20/01/2023,99.76386827
775,21/01/2023,98.30221669
776,22/01/2023,96.15612027
777,23/01/2023,99.57877059
778,24/01/2023,93.92780439
779,25/01/2023,96.61944513
780,26/01/2023,96.15479381
781,27/01/2023,97.72136391
782,28/01/2023,96.24538758
783,29/01/2023,94.08838645
784,30/01/2023,97.50356276
785,31/01/2023,91.84857455
786,01/02/2023,94.53963996
787,02/02/2023,94.07784399
788,03/02/2023,95.65070015
789,04/02/2023,94.18441393
790,05/02/2023,92.04046969
791,06/02/2023,95.47204834
792,07/02/2023,89.83675466
793,08/02/2023,92.55074286
794,09/02/2023,92.11506066
795,10/02/2023,93.71714164
796,11/02/2023,92.28312206
797,12/02/2023,90.17440636
798,13/02/2023,93.6440849
799,14/02/2023,88.04966123
800,15/02/2023,90.807199
801,16/02/2023,90.41764472
802,17/02/2023,92.06830946
803,18/02/2023,90.68520692
804,19/02/2023,88.62963502
805,20/02/2023,92.15453495
806,21/02/2023,86.61729307
807,22/02/2023,89.43381854
808,23/02/2023,89.10491404
809,24/02/2023,90.81776277
810,25/02/2023,89.49820266
811,26/02/2023,87.50738778
812,27/02/2023,91.09810483
813,28/02/2023,85.62757504
814,01/03/2023,88.51154775
815,02/03/2023,88.25066049
816,03/03/2023,90.03191002
817,04/03/2023,88.78099576
818,05/03/2023,86.85889066
819,06/03/2023,90.51821095
820,07/03/2023,85.11600737
821,08/03/2023,88.06786415
822,09/03/2023,87.87425366
823,10/03/2023,89.72200219
824,11/03/2023,88.53664403
825,12/03/2023,86.67898164
826,13/03/2023,90.40148743
827,14/03/2023,85.06103636
828,15/03/2023,88.07306879
829,16/03/2023,87.93789198
830,17/03/2023,89.84219902
831,18/03/2023,88.71136972
832,19/03/2023,86.90607336
833,20/03/2023,90.67862787
834,21/03/2023,85.3858123
835,22/03/2023,88.44292321
836,23/03/2023,88.35015063
837,24/03/2023,90.29407047
838,25/03/2023,89.19997197
839,26/03/2023,87.42841256
840,27/03/2023,91.23161957
841,28/03/2023,85.96628153
842,29/03/2023,89.04762571
843,30/03/2023,88.97576225
844,31/03/2023,90.93721912
845,01/04/2023,89.85721097
846,02/04/2023,88.09625261
847,03/04/2023,91.90655009
848,04/04/2023,86.64473862
849,05/04/2023,89.72601888
850,06/04/2023,89.65050098
851,07/04/2023,91.60469693
852,08/04/2023,90.51382669
853,09/04/2023,88.73842106
854,10/04/2023,92.53069141
855,11/04/2023,87.24730492
856,12/04/2023,90.30350488
857,13/04/2023,90.19943339
858,14/04/2023,92.12166101
859,15/04/2023,90.99546102
860,16/04/2023,89.18143344
861,17/04/2023,92.9318589
862,18/04/2023,87.60349517
863,19/04/2023,90.61166541
864,20/04/2023,90.45662359
865,21/04/2023,92.32501489
866,22/04/2023,91.14225638
867,23/04/2023,89.26903334
868,24/04/2023,92.95777024
869,25/04/2023,87.56534734
870,26/04/2023,90.50722633
871,27/04/2023,90.28378905
872,28/04/2023,92.08184046
873,29/04/2023,90.82692017
874,30/04/2023,88.87988926
875,01/05/2023,92.49332667
876,02/05/2023,87.0242725
877,03/05/2023,89.88833227
878,04/05/2023,89.58607958
879,05/05/2023,91.30447388
880,06/05/2023,89.96923593
881,07/05/2023,87.94139192
882,08/05/2023,91.47369128
883,09/05/2023,85.92333925
884,10/05/2023,88.70614909
885,11/05/2023,88.32283825
886,12/05/2023,89.96055797
887,13/05/2023,88.54519413
888,14/05/2023,86.43795405
889,15/05/2023,89.89174698
890,16/05/2023,84.26395395
891,17/05/2023,86.9705587
892,18/05/2023,86.51243848
893,19/05/2023,88.07690435
894,20/05/2023,86.590002
895,21/05/2023,84.41309326
896,22/05/2023,87.79924185
897,23/05/2023,82.10597263
898,24/05/2023,84.7493972
899,25/05/2023,84.23054197
900,26/05/2023,85.73684585
901,27/05/2023,84.19448771
902,28/05/2023,81.9649306
903,29/05/2023,85.30136076
904,30/05/2023,79.56141491
905,31/05/2023,82.16130056
906,01/06/2023,81.60213467
907,02/06/2023,83.07144672
908,03/06/2023,81.49548483
909,04/06/2023,79.23580793
910,05/06/2023,82.54564487
911,06/06/2023,76.78269633
912,07/06/2023,79.36321773
913,08/06/2023,78.788374
914,09/06/2023,80.24572124
915,10/06/2023,78.66153952
916,11/06/2023,76.39739313
917,12/06/2023,79.70654287
918,13/06/2023,73.94667343
919,14/06/2023,76.5340509
920,15/06/2023,75.96981355
921,16/06/2023,77.44150684
922,17/06/2023,75.87538422
923,18/06/2023,73.63296733
924,19/06/2023,76.96747971
925,20/06/2023,71.23656341
926,21/06/2023,73.85640994
927,22/06/2023,73.32811498
928,23/06/2023,74.83914406
929,24/06/2023,73.31566007
930,25/06/2023,71.11913138
931,26/06/2023,74.50267498
